cigar,4.64658105100693
rebut,4.7407599987809395
sissy,2.9641758699111245
humph,2.9015862790062044
awake,3.619939471299496
blush,4.045527992785813
focal,Infinity
evade,3.818115236846559
naval,3.6780618750149188
serve,4.122747631417192
heath,4.270326447131679
dwarf,3.929289998567876
model,4.634819027562648
karma,3.5849224939570186
stink,4.228204400843374
grade,Infinity
quiet,4.177927947575468
bench,4.216928890942393
abate,4.266205836484601
feign,4.263262134383822
major,4.012659997393435
death,4.864863088079895
fresh,4.515102942262292
crust,4.700344447287789
stool,4.173735323529961
colon,3.9781422159881727
abase,4.211284465980211
marry,3.860791121655775
react,Infinity
batty,Infinity
pride,4.748916590535462
floss,3.6012156791464998
helix,4.061051770433167
croak,4.548655787667338
staff,3.6026463663634067
paper,4.273278891153369
unfed,Infinity
whelp,4.0956830794424635
trawl,4.709965858002858
outdo,3.6789780710817923
adobe,4.607480014096079
crazy,Infinity
sower,4.738218831853669
repay,Infinity
digit,3.523621238059403
crate,5.356830402226668
cluck,3.219230298724112
spike,4.340078283736031
mimic,2.623775551007569
pound,4.129875051602833
maxim,2.958699517700351
linen,4.307802854587817
unmet,4.539188405010525
flesh,Infinity
booby,2.6250221068876955
forth,4.344151971679936
first,4.5892011919847135
stand,4.663213430539399
belly,3.702357570778167
ivory,4.0789054382408905
seedy,3.9509551725225758
print,4.6973426823799
yearn,5.094647949745507
drain,4.851371990057603
bribe,3.9941307435762314
stout,3.9582974665686135
panel,Infinity
crass,4.164824353914788
flume,4.157985338759882
offal,Infinity
agree,4.55309361045775
error,3.7813615312340936
swirl,4.447505996233101
argue,4.90340783588164
bleed,3.9564040201973993
delta,5.086054509685597
flick,Infinity
totem,4.140658931164404
wooer,4.066114209178773
front,4.5447122140416765
shrub,4.093685096538646
parry,Infinity
biome,4.410538403705046
lapel,4.303798612444019
start,4.410188917812383
greet,4.422666380915998
goner,Infinity
golem,Infinity
lusty,4.417976947361938
loopy,Infinity
round,4.544285789467078
audit,4.591921703522546
lying,Infinity
gamma,2.7207842142554353
labor,4.802192839879667
islet,5.124659761100873
civic,2.4347399379388106
forge,4.485339212806913
corny,4.547185951783382
moult,4.488861065725926
basic,4.3507041563344515
salad,Infinity
agate,Infinity
spicy,4.102334068384211
spray,Infinity
essay,4.094317864320608
fjord,Infinity
spend,4.456476546076485
kebab,3.5117522994607975
guild,4.15275540705108
aback,3.2290370854002317
motor,4.029523119957725
alone,5.252147412610613
hatch,3.765991735485371
hyper,4.385863781535625
thumb,3.6736686597616766
dowry,4.00971645989894
ought,4.083090330768661
belch,4.312904443369481
dutch,4.006399541187017
pilot,4.7091647168355735
tweed,3.848088284407838
comet,4.7264262407786
jaunt,3.996454360626573
enema,4.1165858113145
steed,4.2491091786826605
abyss,3.492530280838597
growl,4.164117660691021
fling,3.9093455753348128
dozen,Infinity
boozy,2.689527576400849
erode,4.395754568924408
world,4.292644456112541
gouge,3.7957006407427647
click,3.3972748595321476
briar,4.094602775689701
great,Infinity
altar,Infinity
pulpy,3.2838140566286653
blurt,4.463261416458456
coast,4.944695262286072
duchy,3.6580634182513356
groin,4.595419428559467
fixer,Infinity
group,Infinity
rogue,4.788981263075532
badly,4.155819698476014
smart,4.848095047694679
pithy,Infinity
gaudy,3.9748496772969215
chill,3.7209081934700374
heron,4.964516708361051
vodka,3.6472097637358196
finer,Infinity
surer,4.360136808939079
radio,Infinity
rouge,4.7840269404266085
perch,4.568814973695588
retch,4.843921519733031
wrote,4.834918094035519
clock,3.440633813660564
tilde,4.984707344583263
store,5.256430106330897
prove,4.413337608828016
bring,4.106964707158627
solve,4.626740706570067
cheat,4.902272096559837
grime,4.580442303927461
exult,4.166972282305283
usher,4.623642872556255
epoch,4.397224076101267
triad,4.976548018757086
break,4.535148108921608
rhino,4.643568670703438
viral,Infinity
conic,3.788303626165888
masse,4.215277139105977
sonic,4.589534525457392
vital,4.469290212021663
trace,5.3666768938162
using,4.059456474714057
peach,4.624370659654836
champ,3.9519690992589247
baton,Infinity
brake,Infinity
pluck,3.7605267236963527
craze,Infinity
gripe,4.646864931281645
weary,4.676769704569459
picky,3.6031756303569757
acute,4.964243522293699
ferry,Infinity
aside,Infinity
tapir,4.950704286193127
troll,4.350374627568589
unify,3.794108424978953
rebus,4.6018787290518155
boost,Infinity
truss,4.008073051570869
siege,4.226918603897635
tiger,4.952627974426779
banal,3.9162337188172276
slump,4.04715155045959
crank,4.439679806052597
gorge,4.114421709782641
query,3.9036652678901302
drink,4.1478369708126746
favor,4.136172053068248
abbey,Infinity
tangy,4.393998918139603
panic,4.452313619180731
solar,5.186194354975977
shire,4.990570172952474
proxy,3.671650444139525
point,4.593622714058233
robot,3.9913987960512407
prick,4.051106290494926
wince,4.412258093301869
crimp,4.192066109584388
knoll,3.5895067304350183
sugar,Infinity
whack,3.572194291218136
mount,4.373749655570929
perky,4.194917765339307
could,4.378485201384563
wrung,3.824909398460295
light,Infinity
those,4.955805065122689
moist,4.6198516687532205
shard,Infinity
pleat,5.111322704257052
aloft,Infinity
skill,3.6164681418016924
elder,4.350535425175308
frame,4.633559632998477
humor,Infinity
pause,4.861013373462537
ulcer,4.8608181418921355
ultra,4.914981363989084
robin,4.532692418043309
cynic,3.4692751927444982
aroma,4.059971429245766
caulk,4.227383209296653
shake,4.557034028248075
dodge,3.756639847546254
swill,3.622618025915705
tacit,4.19693631280823
other,4.942993742147523
thorn,4.75538566929885
trove,4.740208276188913
bloke,4.310865575881013
vivid,2.310935608184335
spill,3.836066277293922
chant,4.587086924528629
choke,4.224599716947473
rupee,4.307567623264
nasty,4.660450817366138
mourn,4.469151640242269
ahead,4.0678982262163155
brine,4.784641667174634
cloth,4.5342489490000215
hoard,4.707612951331776
sweet,4.0909199964421115
month,4.258385396961319
lapse,Infinity
watch,4.131243542298734
today,4.5836439433643035
focus,Infinity
smelt,4.837694757278529
tease,4.830837823006544
cater,5.2909792962732185
movie,4.230756036439638
saute,5.1815823545138215
allow,3.7931210700696325
renew,4.120187536573409
their,5.087104895732236
slosh,3.9037706982013685
purge,4.47833878915365
chest,4.702937408983057
depot,4.67243647234907
epoxy,3.691057069028289
nymph,3.5409090914139334
found,3.921865295154782
shall,4.058046218369788
harry,3.9371934919698255
stove,4.51614688569053
lowly,3.358811848935553
snout,4.677846313908483
trope,5.059360089518768
fewer,3.689172809787722
shawl,4.277400370911351
natal,4.292175344560586
comma,Infinity
foray,4.437365006613072
scare,5.236461436409225
stair,5.143926158587092
black,3.9888177208166167
squad,3.6541292468853017
royal,Infinity
chunk,3.649396600161739
mince,4.578702214018419
shame,4.701899612159516
cheek,3.5972349708492137
ample,4.703507173615983
flair,Infinity
foyer,Infinity
cargo,4.670024272757172
oxide,4.004956169529127
plant,4.767287754727317
olive,4.5263312980577295
inert,5.146714303351404
askew,4.179288603754402
heist,4.960662111758229
shown,4.020798311865269
zesty,4.00036774881683
hasty,4.482930341258012
trash,4.942941131247826
fella,4.0579434183032355
larva,3.8283586489442754
forgo,3.445650326901952
story,4.715741430232331
hairy,4.643966153398815
train,5.1513230768584535
homer,4.655177726750684
badge,Infinity
midst,4.3028362064230485
canny,3.758777320225236
fetus,Infinity
butch,3.8598036443624917
farce,4.858061694284708
slung,Infinity
tipsy,4.354118932209136
metal,5.037463554976172
yield,4.6084195881488625
delve,3.780626446439386
being,4.2835091693694265
scour,4.65044159963821
glass,3.8843060407520142
gamer,4.718872471657003
scrap,4.655448709385796
money,Infinity
hinge,Infinity
album,4.096099168515987
vouch,3.7032438983594393
asset,4.509287615243976
tiara,4.488885313807851
crept,4.868010286984161
bayou,4.106634089382243
atoll,4.3507785321655215
manor,4.791256943633989
creak,4.768129205330279
showy,3.8202430257747375
phase,Infinity
froth,4.355298106310013
depth,4.359262116022764
gloom,3.5034847948864827
flood,3.4675226997800443
trait,4.513558072168269
girth,4.431843154395843
piety,4.5954449852130335
payer,4.859010606891753
goose,Infinity
float,4.656998982558872
donor,4.017561512536847
atone,5.250542836002305
primo,4.371210751515207
apron,4.835187973518012
blown,3.9144395976524264
cacao,Infinity
loser,Infinity
input,4.262376230076109
gloat,4.800641620119531
awful,3.8332823487747567
brink,3.997676500066548
smite,4.821787134643782
beady,Infinity
rusty,4.522333256689875
retro,Infinity
droll,4.063908278214
gawky,3.3958895288359394
hutch,3.396541968885278
pinto,Infinity
gaily,4.461074747784945
egret,Infinity
lilac,Infinity
sever,4.0693612384559135
field,4.450423151277754
fluff,2.384675734199043
hydro,4.226902829906357
flack,3.90372823939871
agape,Infinity
voice,4.409910565644815
stead,Infinity
stalk,4.537371256873782
berth,4.660321960138352
madam,2.875854341546882
night,4.1274414152485
bland,4.3429931385825435
liver,Infinity
wedge,3.489078927962944
augur,Infinity
roomy,3.7087228305761504
wacky,3.555714376803452
flock,Infinity
angry,4.445546379629215
bobby,2.4118616920952225
trite,4.589305273726453
aphid,4.127285295112223
tryst,Infinity
midge,4.2130529980165194
power,Infinity
elope,4.273086147416941
cinch,3.5279692107898155
motto,3.086408779280137
stomp,4.188753299878834
upset,4.693096713403757
bluff,2.902206710904521
cramp,4.381654571767842
quart,4.168836708536356
coyly,3.615266693792226
youth,4.209151998103268
rhyme,Infinity
buggy,2.7676401262875325
alien,5.27409299404177
smear,Infinity
unfit,4.105699332279172
patty,3.773770055441714
cling,4.226912066532149
glean,4.903165806925207
label,4.2035280407544935
hunky,3.554560159266192
khaki,3.2631421765416935
poker,4.468597373020705
gruel,4.786424078114043
twice,4.533374062135375
twang,4.117947509287747
shrug,4.165686587183338
treat,4.779491215670258
unlit,4.610286065030917
waste,4.852994234599571
merit,Infinity
woven,3.998173405412493
octal,4.863566766941241
needy,3.874405253266794
clown,Infinity
widow,Infinity
irony,4.617033712492844
ruder,4.077557874868297
gauze,3.9709577058116303
chief,4.253078814640054
onset,Infinity
prize,4.18904808601997
fungi,3.6415516329146196
charm,4.395141748130211
gully,3.328136071075087
inter,5.107655050511013
whoop,3.1043971013465583
taunt,4.132182714290221
leery,4.384640254344091
class,4.070205189315924
theme,4.014830659696833
lofty,Infinity
tibia,3.831952771794976
booze,3.2442162241815256
alpha,3.71384674658851
thyme,Infinity
eclat,5.154449963497425
doubt,4.139109324163077
parer,4.448097242401458
chute,4.567532332466099
stick,4.127660628954762
trice,5.183907343077102
alike,4.827883056898398
sooth,3.9905991018289786
recap,Infinity
saint,5.0371709893309795
liege,4.278190995138076
glory,4.421541721695098
grate,Infinity
admit,Infinity
brisk,4.064939369579145
soggy,3.397550196753522
usurp,Infinity
scald,Infinity
scorn,4.721777959280735
leave,Infinity
twine,4.604556337428285
sting,4.33012540022498
bough,3.730743137618646
marsh,4.583858104131192
sloth,4.695503344881039
dandy,3.6026741863648937
vigor,4.096422965691234
howdy,3.563879530890276
enjoy,3.8538547947672783
valid,4.214250486461417
ionic,3.745530912025978
equal,4.186332103832802
unset,Infinity
floor,Infinity
catch,3.839923658446536
spade,4.742737175488746
stein,5.033070526298685
exist,4.30795800634432
quirk,3.4456233306283797
denim,Infinity
grove,4.341491011303803
