[aahed, 4.501494e-08]
[aarti, 1.0270499999999999e-07]
[abaca, 4.172372000000001e-08]
[aback, 2.699342e-06]
[abaft, 1.1280262e-07]
[abase, 9.613907999999998e-08]
[abate, 8.468224e-07]
[abaya, 8.439948e-08]
[abbas, 1.4686259999999999e-06]
[abbey, 6.393404000000001e-06]
[abbot, 3.5446e-06]
[abeam, 9.054506e-08]
[abele, 9.327036e-08]
[abets, 5.7714539999999997e-08]
[abhor, 5.68669e-07]
[abide, 4.437534000000001e-06]
[abies, 1.652658e-07]
[abled, 1.530008e-07]
[abler, 1.114481e-07]
[ables, 9.486708000000001e-08]
[abode, 3.332456e-06]
[abord, 1.405545e-07]
[abort, 7.514977999999999e-07]
[about, 0.001446756]
[above, 0.0002028008]
[abram, 2.4312239999999995e-06]
[abuse, 3.48896e-05]
[abuts, 1.264882e-07]
[abuzz, 1.927152e-07]
[abyss, 3.55745e-06]
[acari, 9.260898e-08]
[achar, 5.8190339999999996e-08]
[ached, 4.536534e-06]
[aches, 1.646678e-06]
[acids, 1.6505139999999998e-05]
[acing, 4.97416e-08]
[acini, 1.212062e-07]
[acker, 4.4313500000000006e-07]
[acnes, 1.0338555999999999e-07]
[acorn, 8.802106000000002e-07]
[acres, 9.162212000000001e-06]
[acrid, 8.951414000000001e-07]
[acted, 1.767344e-05]
[actin, 1.791298e-06]
[acton, 8.742459999999998e-07]
[actor, 1.7857680000000002e-05]
[acute, 3.285576e-05]
[adage, 9.832024e-07]
[adapt, 1.099978e-05]
[added, 0.0001028232]
[adder, 7.37006e-07]
[addio, 5.6324400000000004e-08]
[addle, 6.202047999999999e-08]
[adept, 2.5460960000000004e-06]
[adieu, 1.211535e-06]
[adios, 1.3868040000000002e-07]
[admin, 1.810436e-06]
[admit, 2.819082e-05]
[adobe, 1.8630220000000002e-06]
[adobo, 1.283168e-07]
[adopt, 1.801588e-05]
[adore, 2.045672e-06]
[adorn, 1.0802664000000001e-06]
[adown, 1.0014458e-07]
[adult, 4.754738e-05]
[adzes, 6.191178000000001e-08]
[aedes, 4.33398e-07]
[aegis, 8.62897e-07]
[aeons, 2.5726199999999996e-07]
[aerie, 2.016578e-07]
[aeros, 4.557548e-08]
[aesir, 8.476254e-08]
[affix, 5.534328e-07]
[afire, 4.173978e-07]
[afoot, 1.0016201999999999e-06]
[afore, 1.2924872e-06]
[afoul, 3.6934540000000005e-07]
[afrit, 4.90581e-08]
[after, 0.0008462688000000001]
[again, 0.00046067580000000007]
[agama, 9.1871e-08]
